robottelo,luigi,OpenSlides,tgstation,cryptography,mne-python,pandas,Theano,scikit-image,vumi-go,django-rest-framework,c2cgeoportal,ome-documentation,mackup,django-cms,commcare-hq,botocore,requests,matplotlib,zamboni,readthedocs.org,dipy,regulations-parser,kivy,web2py,flask,mezzanine,kitsune,libcloud,bcfg2,pulp_rpm,sympy,sunpy,beets,configuration,addon-sdk,edx-ora2,ninja-ide,kuma,networkx,teuthology,ka-lite,numba,pybossa,mozmill-ci,blaze,scrapy,virt-test,ESP-Website,nipype,bedrock,pylearn2,ipython,quark,pombola,werkzeug,pelican,django-debug-toolbar,ralph,Minecraft-Overviewer,sentry,deis,buildbot,remo,celery,pip,BinPy,statsmodels,rootpy,gunicorn,oh-mainline,iris,spyne,riak-python-client,mopidy,pyramid,webview,vispy,Pillow,MakeAPI,psychopy,symfony-docs-fr,girder,vumi,salt-cloud,mongo-python-driver,pootle,XBlock,socorro,play1,fjord,youtube-dl,tp-qemu,solitude,feincms,wagtail,freeseer,gaffer,hashstack,invenio,topaz,zipline,marketplace-tests,autotest-docker,shinken,sm,tp-libvirt,Kawaz3rd,eden,SimpleCV,nikola
0.644393682,0.158097029,0.041674614,0.829092772,1.104808748,0.831043148,0.739812422,0.316994667,1.400705099,0.766777436,0.853268027,0.806705236,0.202365637,0.426840305,0.740702295,0.862180012,0.561044216,0.581994295,0.708482653,0.522908688,1.836909533,0.697209358,0.248613596,0.179980993,0.07708931,0.857821107,0.14558506,0.57264185,0.928233385,0.084374189,0.728637934,0.720784813,1.063042641,2.510928631,0.263988376,0.97094214,0.311501503,0.67487812,0.786295811,0.839155674,1.260440588,0.25637126,0.931305488,0.617649794,0.473388672,0.550053835,0.396082878,0.185787797,0.621958971,0.713782668,1.260440588,0.914905787,0.925518751,0.153951645,0.311873436,0.632190228,0.662452698,1.953466177,0.358497262,1.828035116,0.681173801,0.270409465,0.023002744,1.304407597,0.775780678,0.526991367,2.488503695,0.148007393,0.040712357,0.363060713,0.04890871,0.199345827,0.750887394,0.636939287,0.732576728,0.181488276,0.473388672,0.797816992,0.049565077,0.523021698,0.151756048,0.012262344,0.602442026,0.444261789,0.241298437,1.058949232,1.046533823,0.302148938,1.389816761,1.043450117,1.922810555,1.630055785,0.147386312,1.198437452,0.07708931,1.308674812,0.166668177,0.236311674,0.000726223,0.050265789,0.180286407,0.404198647,0.244292259,0.256012917,0.25637126,0.852806807,0.873821497,1.218943596,0.650775909,1.106748104,0.3056283
0.530694034,0.612157106,0.62133944,0.809091421,1.118685722,0.626951218,0.473865628,0.351631761,1.425745964,0.531597694,0.577425798,0.007673025,0.410099387,0.19136548,2.206496119,0.857886341,1.268940449,0.446070433,0.968821049,0.119955063,2.091625214,0.509638071,0.128807545,0.075355291,0.057971954,0.04051137,0.8583769,0.675668359,0.293138981,0.338223934,0.876904488,0.347479145,0.549506783,1.985193491,0.625967622,0.721339226,0.495663166,0.225803852,0.761274656,1.009317636,0.192095518,0.265379667,0.606065989,0.808016181,0.402924776,0.647994995,0.123095512,0.804666281,0.873778462,0.56951642,0.939480484,0.844004393,0.652260303,0.204866409,0.602148056,0.844188213,0.784626722,1.982955217,0.688126564,1.602379322,0.393104553,0.225202878,0.355846405,1.254179001,0.784290075,0.577772379,2.937176228,0.070337057,0.039556742,0.496071219,0.00992012,1.071352363,0.820138931,0.553211212,0.103137016,0.149406433,0.535228252,0.792319536,0.014684916,0.360937595,0.401338816,0.07286191,0.159134865,0.697596073,0.292651892,0.957171917,1.017044783,0.450620174,0.177937865,1.38774085,1.232349992,0.489957333,0.331230164,0.775913477,0.318526745,1.164898634,0.459749222,0.328077555,0.273849249,0.063554883,0.009377956,0.706922531,0.12925148,0.770713091,0.492555618,0.926078558,0.856244326,0.93033886,1.150192022,1.405489683,0.424737453
0.460677663,0.778536558,0.5508461,0.978849515,0.789377848,0.919197273,0.400061131,0.445584893,1.482602119,0.483871063,0.462783337,0.872838974,0.525902927,0.005036831,0.885030842,0.752517564,0.956381321,1.347225189,0.617162615,0.294498205,1.931438446,0.751738667,0.123492718,0.613283038,0.184052467,0.884292245,2.531637907,0.521271348,0.509303808,0.172025442,0.185234785,0.467964967,0.235297441,0.062974215,0.803534746,1.456810474,0.625743151,0.201989651,0.968550444,0.920139551,0.060585737,0.7560215,0.4569875,0.758897781,0.36947751,0.225927114,0.553211212,0.845299244,0.583581448,0.039922953,0.884085178,0.668818712,1.14693439,0.538251877,0.381018877,0.867982388,0.520074725,2.004606009,0.200523615,1.578698635,0.370867968,0.349096298,0.107234399,1.386257172,1.002645493,0.608228028,2.674301386,0.323167562,0.132274628,0.632489324,0.10348773,0.545522094,0.848155499,0.374123335,0.633403182,0.401141167,0.612053633,0.681123614,0.033548832,0.313839674,0.368438482,0.04751873,0.1908288,0.754611015,0.022271156,0.995393991,0.29174757,0.413924336,0.56311202,1.554101706,1.145513296,1.568575621,0.374898911,0.855281591,0.203206062,1.31952858,0.221888065,0.035990715,0.241631508,0.311331987,0.032158136,0.192098618,0.518289328,1.581002235,0.517375231,1.254753351,0.69254756,1.017399788,0.508430243,1.124239922,0.24621129
0.608036852,0.045555115,0.415299773,0.868377447,0.735023916,0.340679725,0.35012573,0.291149616,2.020228386,0.948174477,0.200383186,0.549993038,0.360151589,0.35923171,0.896894375,0.634254304,1.004137397,1.167194775,0.625748634,1.341875315,2.082785606,0.152307987,0.273849249,0.039288998,0.207061768,0.07286191,1.311898232,0.604738394,0.771885633,0.287798166,0.460921764,1.260039687,0.377872705,1.812657833,0.567528963,0.304550648,0.241801977,0.040488243,0.504671276,0.803998232,1.22412467,0.613563061,1.22128582,0.43923831,0.290077448,0.566165447,0.052640676,0.66174525,1.326675415,1.269416332,0.397084475,0.273849249,0.764349249,0.497432709,0.647795916,0.930467606,0.503915071,1.896540403,0.670936346,1.417646646,0.099144936,0.538304806,0.139709393,1.197430849,0.992743254,0.856140733,2.651186466,0.325453997,0.06643343,0.747174621,0.139422655,0.455126882,0.654810905,0.549189329,1.180905104,0.231785774,0.655384541,0.811402142,0.032703638,0.368505001,0.128268003,0.0399158,0.541087151,0.89805913,0.394833565,1.037445068,0.51835537,0.018945456,0.778608441,1.314524889,1.860806942,0.62113142,0.358635902,1.348327637,0.313990593,1.67056632,0.552822113,0.646099091,0.140923023,0.179861069,0.039921045,0.772216797,0.881026983,1.435845375,0.743554115,0.672558069,0.618974924,1.016033411,1.008021355,0.95511055,0.592512131
0.902618329,0.00946331,1.428958893,0.87079381,0.567278147,0.472629031,0.323997696,0.668984652,1.325313091,0.613742828,0.823951125,0.52687943,0.572646459,0.72783494,0.517879784,0.632652362,1.008944988,0.574849606,0.75101164,0.893602371,2.070114136,0.750750542,0.140923023,0.096679926,0.313990593,0.06908083,1.373898625,0.558692837,0.282621861,0.356315374,0.84606266,0.789609313,0.244675398,0.656921268,0.495663166,0.846902847,0.705471039,0.385296822,0.426812887,0.624484301,1.228558779,0.480808139,0.632186592,0.812982321,0.04890871,0.999199629,0.22412467,0.823763867,1.324557304,0.300348997,0.744988024,0.744821072,0.241474946,0.109724522,0.670557737,,0.573102554,1.908274651,0.464148045,1.470659256,0.014942408,0.217756391,0.597619951,1.68929863,1.096676826,0.38055861,2.659018278,0.257580042,0.019738436,0.576600194,0.391455889,0.45272994,0.864125013,0.531592846,1.228114367,0.153310537,0.641248703,0.774211049,0.028209448,0.514779806,0.062086344,0.096714258,0.22412467,1.110658646,0.097732544,1.300519466,0.116223335,0.242719173,0.146361828,1.360140562,1.357263565,0.956381321,0.088458776,1.037222624,0.215778351,1.309468031,0.304414988,0.409031391,0.201906443,0.28573525,0.06943059,0.305832148,0.22063446,1.567111969,0.320133924,1.256397247,0.891251087,0.519947052,1.106479645,1.151698589,0.383762121
0.590337038,0.171672702,0.047264099,0.765244151,0.092387915,0.669269528,0.436345994,0.50248456,1.461552382,0.835643768,0.810973167,1.025218725,0.466320992,,1.069339275,0.887795899,0.670154572,1.056707064,0.476674159,0.75813365,2.192224503,0.741259336,0.346411705,0.312034448,0.392477989,0.088886976,0.017751694,0.767444849,0.132200241,0.383896589,0.850149155,0.662823121,0.304442406,0.850287557,0.688432574,0.931865454,0.670557737,0.727595091,0.767607927,0.604670127,1.269858599,0.899905443,0.277338028,1.018695116,0.103580475,0.703509927,0.379032493,0.4645468,0.670718749,1.054030657,0.344541609,0.589518785,0.482833004,0.163806796,0.421180248,,0.327618599,2.007496119,0.183561087,1.263330698,0.33622241,0.650649309,0.774511218,1.5658741,0.563764811,1.076175809,2.591409206,0.360430479,0.060608387,0.833572149,0.062704086,0.642108262,0.955310583,0.459624529,1.100150824,0.054546833,0.805594683,0.638185382,0.056800365,0.396701813,0.09536624,0.014947414,0.834368467,0.182337284,0.200922728,0.968685389,0.076272249,0.611655235,0.475570917,1.136263371,1.154400587,0.692403316,0.034835815,0.922798157,0.000109196,1.285540104,0.238464832,,0.210206032,0.155759931,0.094765425,0.567628384,1.64199996,0.743318081,0.263458133,0.593974352,0.9668262,0.80299902,1.29810977,1.5572052,0.241698384
0.49745162,0.440060854,0.905466715,0.78935523,0.702957332,0.777896452,0.819262552,0.109470069,1.080457807,0.353868246,0.787990332,0.578679005,0.75382336,,0.472707272,0.800851524,1.525732994,1.143876632,0.903507551,0.81725812,1.988227367,0.468250275,0.180110931,0.480501175,0.16778183,0.298649788,0.00267601,0.728916883,0.445288062,0.208740234,0.774362326,0.464574873,0.393800974,1.052403212,0.469353517,0.0477314,0.698050261,0.057190895,0.552022099,0.679302533,1.253120661,0.694290876,0.722607931,1.34347415,0.086326361,0.741244793,0.271598935,0.728870392,1.042956352,1.269954443,0.372373939,0.210206032,0.429526846,0.027080297,0.553228855,,0.679337899,1.882688761,0.016138792,1.519669294,0.098629236,0.197016239,0.247335315,1.161740541,0.716957569,1.310566127,2.632486343,0.154818535,0.008857727,0.772203207,0.311857224,0.192012191,0.797062635,0.325458527,0.001402855,0.063367128,0.485697031,1.15596056,0.038891792,0.552194357,0.178616524,0.053854227,0.007504463,0.697454691,0.118740559,0.862869501,0.727043152,0.528783321,1.243163586,1.164489746,0.845847845,0.676122189,0.425802708,1.11499548,0.0832901,1.306067228,0.269676685,,0.281666756,0.357128978,0.042705297,0.50962162,1.570506096,0.228558779,0.482375503,0.995081663,0.796103477,0.637923002,0.420484066,1.021219254,0.416754723
0.61705761,0.444872777,0.824995359,0.779055751,0.770488083,0.436534643,0.301334725,0.350784381,1.359484911,0.641457558,0.554360986,0.462865829,0.322685242,,0.820183833,0.619456751,0.737422466,0.777481318,0.552121851,0.421933651,,0.70290947,0.193498373,0.299617767,0.050071716,0.526086807,1.347384334,0.469247341,0.103102207,,0.846777201,0.447839081,0.343185663,0.036789894,0.705471039,0.734901349,0.553228855,0.182726383,0.931800842,1.012646556,1.294994116,0.537445307,0.978936911,0.680577993,0.084669352,0.41509366,0.581194639,0.233177543,0.533833265,0.031087399,0.67964975,0.702044249,0.516088049,0.436404467,0.247875452,,0.555358648,,0.781313658,1.525053978,0.111256361,0.465262572,0.021063089,0.983074188,1.079012156,0.796811676,2.623260736,0.176064491,0.054175377,0.433862925,,0.97979331,0.818418264,0.354189396,1.158597231,0.050189257,0.628403902,0.149800301,0.036603689,0.593800545,0.193455696,0.101346016,0.15393734,0.094283342,0.213292837,1.090863943,0.369096756,0.225071907,0.456302762,1.683924913,1.488583565,0.791428089,0.438179493,0.846045494,0.100996971,1.293913603,0.353602886,,0.249437332,0.322796583,0.062986612,,0.258592129,1.457172632,0.462451379,,,1.052693844,1.457879543,0.89130497,0.200576067
0.594141523,0.639825225,0.928605318,0.809674631,1.058921099,0.624629418,0.58278892,0.108716806,1.97626853,0.477319479,0.640630245,0.033231735,0.372193909,,0.155744314,0.945144922,1.323167562,0.858535528,0.323657334,1.67056632,,0.692780336,0.259225845,0.822888772,0.110358238,0.034912109,2.58351922,0.545886457,0.683815241,,0.539487243,1.352906942,0.389465332,0.899874806,0.489537398,0.539970636,0.247875452,0.072052717,0.430934787,0.553828359,1.198395014,0.4057796,1.244127154,0.647902489,0.267133474,0.156950474,0.429493904,0.65729173,0.703110099,0.937913656,0.764761925,0.462664604,0.667812496,0.093527317,0.692146778,,0.531967521,,0.270810604,1.57657671,0.245750427,0.25603404,0.540250937,,0.841673613,0.256105661,2.700492144,,,0.468407154,,0.341398239,0.748554468,0.323852062,0.018800259,0.083616495,,1.699286699,0.072646856,,,0.003419638,0.108593941,0.265260935,0.256885529,0.92339325,0.388449192,0.686160326,0.200041294,1.293077588,1.064731479,0.629292369,0.183138371,0.911241055,,,0.072473049,,0.220607042,0.425891161,,,1.656853914,0.015225649,0.340612173,,,0.970956802,0.950797081,,0.129127264
0.401291549,0.189390659,0.232370257,1.089055293,0.914931893,1.574861765,0.546093971,0.299618443,1.44081676,0.579480529,0.403967738,0.022771358,0.463509202,,0.89897275,0.770449903,1.408749104,0.692608833,0.550399201,1.068593502,,1.346411705,0.214390755,0.17746067,0.070055962,0.177742243,0.1121521,0.499213696,0.556869745,,0.401819229,0.567035484,0.398558617,0.853250146,0.421180248,0.479770422,0.692146778,0.235174894,1.111474633,0.004003525,1.273535728,0.57603991,0.455246449,0.755079031,0.444399834,0.677092433,0.395433426,0.713850975,0.697100163,1.191158295,0.563966751,0.374904633,0.610202432,0.201009274,0.478339672,,0.370548248,,0.191639185,,0.181081295,0.178277373,0.315841198,,0.617800951,0.434201581,2.27924943,,,0.872703791,,0.146770716,0.955261707,,0.21267271,0.03244257,,1.442178488,,,,0.03774786,0.837596178,0.181263685,0.058568954,0.964009285,0.791909774,0.332217813,0.565351566,1.257320642,0.90469861,0.863853534,0.114465237,0.920864344,,,,,0.214390755,0.059715748,,,0.003351927,0.06925559,0.100150824,,,0.898669243,0.557822227,,0.259384155
