classifier,rep_no,precision,recall,fscore,TP,TN,FP,FN
DecisionTree,1,0.8863887864256732,0.7578051087984863,0.8170690241414484,2403,2932,308,768
DecisionTree,2,0.880840275262586,0.7686472819216182,0.820928270042194,2432,2918,329,732
DecisionTree,3,0.8975903614457831,0.7408328154133001,0.8117126319373509,2384,2921,272,834
DecisionTree,4,0.8917995444191344,0.7359022556390977,0.8063851699279094,2349,2934,285,843
DecisionTree,5,0.8877777777777778,0.7483609116453325,0.8121294257157378,2397,2905,303,806
DecisionTree,6,0.8737037037037036,0.745575221238938,0.8045702592087313,2359,2906,341,805
DecisionTree,7,0.8848766535573829,0.7624768946395564,0.8191295714049313,2475,2843,322,771
DecisionTree,8,0.8866130212143379,0.7591606639523959,0.817951746245993,2424,2908,310,769
DecisionTree,9,0.8988095238095238,0.7566551832132791,0.8216289746641728,2416,2946,272,777
DecisionTree,10,0.8940774487471527,0.7403332285444829,0.8099742046431643,2355,2951,279,826
DecisionTree,11,0.8793233082706767,0.740658644711843,0.8040563767617739,2339,2932,321,819
DecisionTree,12,0.8844313581155686,0.7437325905292479,0.8080026899798252,2403,2866,314,828
DecisionTree,13,0.8793103448275862,0.7418755803156918,0.8047675004196743,2397,2851,329,834
DecisionTree,14,0.8937339684866251,0.748159509202454,0.8144932376022709,2439,2861,290,821
DecisionTree,15,0.8813936249073387,0.7415029622700343,0.8054191363251482,2378,2884,320,829
DecisionTree,16,0.8784510577267838,0.7692307692307693,0.8202209574824239,2450,2887,339,735
DecisionTree,17,0.8857348185411427,0.7671957671957672,0.8222148098732489,2465,2880,318,748
DecisionTree,18,0.8890977443609023,0.7392935292278837,0.807305000853388,2365,2917,295,834
DecisionTree,19,0.8918020679468243,0.7446808510638298,0.8116282977650815,2415,2875,293,828
DecisionTree,20,0.8698224852071006,0.7483296213808464,0.8045151359671626,2352,2916,352,791
DecisionTree,21,0.8831308077197999,0.7662015503875969,0.8205213348829486,2471,2859,327,754
DecisionTree,22,0.8930841121495328,0.747964934251722,0.8141080252172431,2389,2931,286,805
DecisionTree,23,0.8742342342342342,0.7555278729367798,0.8105579685933846,2426,2851,349,785
DecisionTree,24,0.8878990348923533,0.7341927562922038,0.8037634408602151,2392,2851,302,866
DecisionTree,25,0.8936249073387694,0.7473651580905145,0.8139770425388251,2411,2898,287,815
DecisionTree,26,0.884643644379133,0.7432098765432099,0.8077826232807782,2408,2857,314,832
DecisionTree,27,0.8809953119365308,0.7509990777743621,0.81081978094922,2443,2828,330,810
DecisionTree,28,0.8849654168183473,0.7606382978723404,0.8181053340063941,2431,2899,316,765
DecisionTree,29,0.8648846576345661,0.7335403726708074,0.7938161653503613,2362,2822,369,858
DecisionTree,30,0.8913437160449112,0.760741885625966,0.8208805870580388,2461,2876,300,774
