classifier,rep_no,precision,recall,fscore,TP,TN,FP,FN
DecisionTree,1,0.8817984046410442,0.7633396107972379,0.8183041722745626,2432,2899,326,754
DecisionTree,2,0.8851878100637846,0.7690886699507389,0.8230642504118615,2498,2839,324,750
DecisionTree,3,0.8964618249534451,0.744740099009901,0.8135879668751057,2407,2901,278,825
DecisionTree,4,0.8921130952380952,0.753140703517588,0.8167574931880109,2398,2937,290,786
DecisionTree,5,0.8936936936936937,0.772104607721046,0.8284616669450476,2480,2904,295,732
DecisionTree,6,0.884168482207698,0.7678965625985493,0.8219409282700422,2435,2921,319,736
DecisionTree,7,0.8931098696461824,0.7536140791954745,0.8174535537753537,2398,2942,287,784
DecisionTree,8,0.8918426802621996,0.7600869025450031,0.8207104557640752,2449,2892,297,773
DecisionTree,9,0.8797178130511464,0.7742936976094381,0.8236459709379128,2494,2849,341,727
DecisionTree,10,0.8990559186637618,0.7660891089108911,0.8272636151019044,2476,2901,278,756
DecisionTree,11,0.8948717948717949,0.7601120099564406,0.8220053835800808,2443,2910,287,771
DecisionTree,12,0.8909555069292487,0.759639303482587,0.8200738502853306,2443,2896,299,773
DecisionTree,13,0.8978102189781022,0.7618457726850418,0.8242586697939355,2460,2902,280,769
DecisionTree,14,0.8934953538241601,0.7640586797066015,0.8237232289950578,2500,2841,298,772
DecisionTree,15,0.9033523537803139,0.7803450400492914,0.8373553719008264,2533,2894,271,713
DecisionTree,16,0.889179104477612,0.7479598242310107,0.8124786907603138,2383,2928,297,803
DecisionTree,17,0.8982252806954002,0.7706650093225605,0.8295701622344874,2480,2912,281,738
DecisionTree,18,0.9088937093275488,0.768102658111824,0.8325881768504719,2514,2886,252,759
DecisionTree,19,0.8892496392496393,0.771759549154665,0.8263493127723769,2465,2910,307,729
DecisionTree,20,0.8891724389354722,0.7595764559327313,0.8192811555256971,2439,2896,304,772
DecisionTree,21,0.9013157894736842,0.7604070305272895,0.8248871048670346,2466,2898,270,777
DecisionTree,22,0.9029126213592233,0.749535027898326,0.8191056910569104,2418,2925,260,808
DecisionTree,23,0.8865826538176427,0.7608142493638677,0.8188976377952756,2392,2961,306,752
DecisionTree,24,0.8980493191019506,0.7620237351655216,0.8244635918229432,2440,2932,277,762
DecisionTree,25,0.8971119133574007,0.7672121025007719,0.8270926942918955,2485,2887,285,754
DecisionTree,26,0.8956941351150706,0.7665184243964421,0.8260869565217391,2413,2982,281,735
DecisionTree,27,0.89413035649982,0.760257195345989,0.8217772629488665,2483,2851,294,783
DecisionTree,28,0.8964246221894582,0.7550450170754424,0.8196831816649814,2432,2909,281,789
DecisionTree,29,0.9110122358175751,0.7569316081330869,0.8268551236749117,2457,2925,240,789
DecisionTree,30,0.9005464480874317,0.7780925401322002,0.8348530901722391,2472,2961,273,705
